PO_RD_NO,person,property,total
010,2,3,5
020,32,24,56
021,29,5,34
030,24,20,44
031,2,3,5
041,11,8,19
042,17,14,31
043,22,16,38
044,12,7,19
051,41,35,76
052,67,93,160
053,50,146,196
061,48,33,81
062,44,20,64
063,21,21,42
064,32,15,47
071,77,39,116
072,54,38,92
073,60,43,103
074,41,31,72
075,40,40,80
076,54,45,99
081,37,74,111
082,159,138,297
083,19,8,27
084,15,13,28
085,19,13,32
091,86,80,166
092,35,37,72
093,46,43,89
094,61,72,133
101,61,77,138
102,61,66,127
103,36,57,93
104,51,43,94
111,88,113,201
112,94,114,208
113,22,43,65
114,19,29,48
121,57,68,125
122,77,118,195
123,48,20,68
124,19,12,31
131,48,25,73
132,48,41,89
133,18,10,28
134,23,31,54
141,38,16,54
142,59,24,83
143,24,21,45
144,31,14,45
151,69,62,131
152,146,83,229
153,61,79,140
161,123,102,225
162,43,53,96
163,152,69,221
164,261,109,370
171,67,54,121
172,66,67,133
173,66,53,119
174,67,47,114
181,60,63,123
182,56,56,112
183,33,87,120
184,79,74,153
191,42,40,82
192,67,37,104
193,67,92,159
194,79,61,140
201,92,44,136
202,36,34,70
203,64,88,152
204,54,34,88
211,25,16,41
212,33,39,72
213,13,18,31
214,55,37,92
215,13,14,27
216,27,22,49
221,95,50,145
222,56,31,87
223,60,34,94
224,89,44,133
225,35,15,50
226,100,34,134
231,105,68,173
232,99,91,190
233,109,85,194
234,62,61,123
235,123,99,222
241,61,54,115
242,135,70,205
243,47,25,72
244,74,73,147
251,74,56,130
252,89,66,155
253,68,42,110
271,66,44,110
272,99,71,170
273,64,53,117
274,39,42,81
281,55,72,127
282,73,92,165
291,59,52,111
292,72,80,152
293,76,111,187
294,47,73,120
301,69,48,117
302,57,42,99
303,46,58,104
304,50,59,109
311,19,30,49
312,42,30,72
313,44,71,115
314,42,59,101
315,24,24,48
316,55,39,94
321,23,8,31
322,31,17,48
323,1,0,1
331,85,70,155
332,24,17,41
333,77,54,131
334,58,24,82
335,38,16,54
336,59,54,113
341,125,58,183
342,129,131,260
343,129,58,187
351,86,56,142
352,105,56,161
353,48,23,71
354,40,31,71
361,81,76,157
362,61,96,157
371,51,64,115
372,92,74,166
373,47,56,103
374,47,66,113
381,35,43,78
382,59,74,133
383,34,51,85
384,46,36,82
391,16,21,37
392,24,40,64
393,29,6,35
401,19,10,29
402,26,21,47
403,9,1,10
411,65,49,114
412,28,19,47
413,53,31,84
414,103,51,154
415,74,22,96
421,83,61,144
422,76,64,140
423,91,70,161
431,54,13,67
432,17,9,26
433,41,27,68
434,64,32,96
441,68,35,103
442,51,19,70
451,70,47,117
452,34,31,65
453,94,49,143
454,71,59,130
461,26,23,49
462,47,51,98
463,49,45,94
464,56,68,124
470,27,14,41
471,45,46,91
472,2,1,3
473,15,0,15
474,3,2,5
481,104,30,134
482,35,26,61
483,37,13,50
491,62,26,88
492,57,29,86
493,36,26,62
501,187,82,269
502,71,57,128
503,56,39,95
511,122,71,193
512,71,51,122
521,111,107,218
522,110,59,169
523,107,58,165
524,109,112,221
531,34,10,44
532,91,48,139
533,82,48,130
534,36,29,65
541,38,19,57
542,16,24,40
543,18,20,38
544,32,12,44
545,55,39,94
546,91,54,145
551,47,9,56
552,20,15,35
553,55,25,80
554,60,37,97
561,39,30,69
562,81,50,131
563,28,20,48
571,88,69,157
572,85,44,129
581,21,7,28
582,52,14,66
583,57,50,107
584,25,22,47
591,26,15,41
592,22,6,28
593,47,16,63
594,85,31,116
595,2,6,8
596,11,12,23
601,45,37,82
602,87,43,130
603,46,90,136
604,37,23,60
610,20,24,44
621,70,33,103
622,93,51,144
623,39,30,69
624,31,14,45
625,1,1,2
631,21,15,36
632,23,18,41
633,9,11,20
634,93,50,143
635,13,4,17
636,4,1,5
641,30,15,45
642,19,25,44
643,25,26,51
644,57,53,110
645,10,16,26
646,22,8,30
651,32,24,56
652,24,14,38
653,92,45,137
654,54,88,142
655,29,16,45
661,34,11,45
662,91,31,122
663,45,42,87
664,35,32,67
665,38,5,43
671,19,16,35
672,44,30,74
673,20,12,32
674,24,10,34
675,93,26,119
676,25,26,51
681,11,5,16
682,9,10,19
683,13,8,21
684,5,9,14
685,30,10,40
686,18,5,23
687,20,15,35
688,11,8,19
689,10,7,17
691,1,4,5
692,56,27,83
693,8,4,12
694,5,9,14
695,178,47,225
800,20,84,104
801,0,0,0
821,0,0,0
822,1,5,6
823,0,4,4
824,0,1,1
825,0,2,2
962,0,0,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
